Annotation source,Category/term pathway,Functional group,Gene count,Representative genes/proteins in B13
GO,Both (Cross-functional),Both,8,OGCDPPDJ_00912 (Uncharacterized); OGCDPPDJ_01199 (Uncharacterized); OGCDPPDJ_01374 (Uncharacterized); OGCDPPDJ_03389 (Uncharacterized); OGCDPPDJ_04394 (Uncharacterized); OGCDPPDJ_04395 (Uncharacterized); OGCDPPDJ_04396 (Uncharacterized); OGCDPPDJ_04397 (Uncharacterized)
GO,response to stress (GO:0006950),Stress response,128,OGCDPPDJ_00008 (Uncharacterized); OGCDPPDJ_00036 (Uncharacterized); OGCDPPDJ_00098 (Uncharacterized); OGCDPPDJ_00120 (Uncharacterized); OGCDPPDJ_00134 (Uncharacterized); OGCDPPDJ_00193 (Uncharacterized); OGCDPPDJ_00197 (Uncharacterized); OGCDPPDJ_00219 (Uncharacterized); OGCDPPDJ_00244 (Uncharacterized); OGCDPPDJ_00248 (Uncharacterized); OGCDPPDJ_00257 (Uncharacterized); OGCDPPDJ_00258 (Uncharacterized); OGCDPPDJ_00287 (Uncharacterized); OGCDPPDJ_00334 (Uncharacterized); OGCDPPDJ_00335 (Uncharacterized); OGCDPPDJ_00349 (Uncharacterized); OGCDPPDJ_00350 (Uncharacterized); OGCDPPDJ_00411 (Uncharacterized); OGCDPPDJ_00432 (Uncharacterized); OGCDPPDJ_00482 (Uncharacterized); OGCDPPDJ_00574 (Uncharacterized); OGCDPPDJ_00591 (Uncharacterized); OGCDPPDJ_00596 (Uncharacterized); OGCDPPDJ_00603 (Uncharacterized); OGCDPPDJ_00609 (Uncharacterized); OGCDPPDJ_00610 (Uncharacterized); OGCDPPDJ_00620 (Uncharacterized); OGCDPPDJ_00701 (Uncharacterized); OGCDPPDJ_00751 (Uncharacterized); OGCDPPDJ_00785 (Uncharacterized); OGCDPPDJ_00832 (Uncharacterized); OGCDPPDJ_00896 (Uncharacterized); OGCDPPDJ_00905 (Uncharacterized); OGCDPPDJ_00912 (Uncharacterized); OGCDPPDJ_00935 (Uncharacterized); OGCDPPDJ_00943 (Uncharacterized); OGCDPPDJ_01118 (Uncharacterized); OGCDPPDJ_01179 (Uncharacterized); OGCDPPDJ_01204 (Uncharacterized); OGCDPPDJ_01211 (Uncharacterized); OGCDPPDJ_01223 (Uncharacterized); OGCDPPDJ_01279 (Uncharacterized); OGCDPPDJ_01342 (Uncharacterized); OGCDPPDJ_01374 (Uncharacterized); OGCDPPDJ_01385 (Uncharacterized); OGCDPPDJ_01386 (Uncharacterized); OGCDPPDJ_01432 (Uncharacterized); OGCDPPDJ_01441 (Uncharacterized); OGCDPPDJ_01510 (Uncharacterized); OGCDPPDJ_01598 (Uncharacterized); OGCDPPDJ_01613 (Uncharacterized); OGCDPPDJ_01781 (Uncharacterized); OGCDPPDJ_01891 (Uncharacterized); OGCDPPDJ_01937 (Uncharacterized); OGCDPPDJ_02133 (Uncharacterized); OGCDPPDJ_02134 (Uncharacterized); OGCDPPDJ_02204 (Uncharacterized); OGCDPPDJ_02256 (Uncharacterized); OGCDPPDJ_02270 (Uncharacterized); OGCDPPDJ_02271 (Uncharacterized); OGCDPPDJ_02311 (Uncharacterized); OGCDPPDJ_02317 (Uncharacterized); OGCDPPDJ_02352 (Uncharacterized); OGCDPPDJ_02401 (Uncharacterized); OGCDPPDJ_02429 (Uncharacterized); OGCDPPDJ_02553 (Uncharacterized); OGCDPPDJ_02557 (Uncharacterized); OGCDPPDJ_02575 (Uncharacterized); OGCDPPDJ_02635 (Uncharacterized); OGCDPPDJ_02636 (Uncharacterized); OGCDPPDJ_02646 (Uncharacterized); OGCDPPDJ_02669 (Uncharacterized); OGCDPPDJ_02673 (Uncharacterized); OGCDPPDJ_02722 (Uncharacterized); OGCDPPDJ_02723 (Uncharacterized); OGCDPPDJ_02732 (Uncharacterized); OGCDPPDJ_02766 (Uncharacterized); OGCDPPDJ_02830 (Uncharacterized); OGCDPPDJ_02862 (Uncharacterized); OGCDPPDJ_02880 (Uncharacterized); OGCDPPDJ_02899 (Uncharacterized); OGCDPPDJ_02921 (Uncharacterized); OGCDPPDJ_02992 (Uncharacterized); OGCDPPDJ_03005 (Uncharacterized); OGCDPPDJ_03045 (Uncharacterized); OGCDPPDJ_03106 (Uncharacterized); OGCDPPDJ_03207 (Uncharacterized); OGCDPPDJ_03210 (Uncharacterized); OGCDPPDJ_03244 (Uncharacterized); OGCDPPDJ_03295 (Uncharacterized); OGCDPPDJ_03307 (Uncharacterized); OGCDPPDJ_03369 (Uncharacterized); OGCDPPDJ_03409 (Uncharacterized); OGCDPPDJ_03524 (Uncharacterized); OGCDPPDJ_03553 (Uncharacterized); OGCDPPDJ_03565 (Uncharacterized); OGCDPPDJ_03582 (Uncharacterized); OGCDPPDJ_03642 (Uncharacterized); OGCDPPDJ_03685 (Uncharacterized); OGCDPPDJ_03704 (Uncharacterized); OGCDPPDJ_03705 (Uncharacterized); OGCDPPDJ_03720 (Uncharacterized); OGCDPPDJ_03723 (Uncharacterized); OGCDPPDJ_03736 (Uncharacterized); OGCDPPDJ_03947 (Uncharacterized); OGCDPPDJ_04050 (Uncharacterized); OGCDPPDJ_04105 (Uncharacterized); OGCDPPDJ_04141 (Uncharacterized); OGCDPPDJ_04183 (Uncharacterized); OGCDPPDJ_04195 (Uncharacterized); OGCDPPDJ_04212 (Uncharacterized); OGCDPPDJ_04218 (Uncharacterized); OGCDPPDJ_04227 (Uncharacterized); OGCDPPDJ_04230 (Uncharacterized); OGCDPPDJ_04231 (Uncharacterized); OGCDPPDJ_04241 (Uncharacterized); OGCDPPDJ_04247 (Uncharacterized); OGCDPPDJ_04299 (Uncharacterized); OGCDPPDJ_04320 (Uncharacterized); OGCDPPDJ_04379 (Uncharacterized); OGCDPPDJ_04394 (Uncharacterized); OGCDPPDJ_04395 (Uncharacterized); OGCDPPDJ_04396 (Uncharacterized); OGCDPPDJ_04397 (Uncharacterized); OGCDPPDJ_04409 (Uncharacterized); OGCDPPDJ_04416 (Uncharacterized); OGCDPPDJ_04462 (Uncharacterized); OGCDPPDJ_04472 (Uncharacterized)
GO,DNA repair (GO:0006281),Stress response,33,OGCDPPDJ_00197 (Uncharacterized); OGCDPPDJ_00244 (Uncharacterized); OGCDPPDJ_00248 (Uncharacterized); OGCDPPDJ_00334 (Uncharacterized); OGCDPPDJ_00411 (Uncharacterized); OGCDPPDJ_00482 (Uncharacterized); OGCDPPDJ_00596 (Uncharacterized); OGCDPPDJ_00610 (Uncharacterized); OGCDPPDJ_00701 (Uncharacterized); OGCDPPDJ_00832 (Uncharacterized); OGCDPPDJ_00896 (Uncharacterized); OGCDPPDJ_00905 (Uncharacterized); OGCDPPDJ_00935 (Uncharacterized); OGCDPPDJ_01223 (Uncharacterized); OGCDPPDJ_01891 (Uncharacterized); OGCDPPDJ_01937 (Uncharacterized); OGCDPPDJ_02204 (Uncharacterized); OGCDPPDJ_02270 (Uncharacterized); OGCDPPDJ_02352 (Uncharacterized); OGCDPPDJ_02553 (Uncharacterized); OGCDPPDJ_02575 (Uncharacterized); OGCDPPDJ_02635 (Uncharacterized); OGCDPPDJ_02636 (Uncharacterized); OGCDPPDJ_02646 (Uncharacterized); OGCDPPDJ_02732 (Uncharacterized); OGCDPPDJ_02766 (Uncharacterized); OGCDPPDJ_02992 (Uncharacterized); OGCDPPDJ_03244 (Uncharacterized); OGCDPPDJ_03409 (Uncharacterized); OGCDPPDJ_04105 (Uncharacterized); OGCDPPDJ_04231 (Uncharacterized); OGCDPPDJ_04247 (Uncharacterized); OGCDPPDJ_04462 (Uncharacterized)
GO,response to heat (GO:0009408),Stress response,18,OGCDPPDJ_00287 (Uncharacterized); OGCDPPDJ_00350 (Uncharacterized); OGCDPPDJ_00411 (Uncharacterized); OGCDPPDJ_00591 (Uncharacterized); OGCDPPDJ_00603 (Uncharacterized); OGCDPPDJ_00620 (Uncharacterized); OGCDPPDJ_00912 (Uncharacterized); OGCDPPDJ_01374 (Uncharacterized); OGCDPPDJ_02401 (Uncharacterized); OGCDPPDJ_02669 (Uncharacterized); OGCDPPDJ_02722 (Uncharacterized); OGCDPPDJ_02723 (Uncharacterized); OGCDPPDJ_02862 (Uncharacterized); OGCDPPDJ_03704 (Uncharacterized); OGCDPPDJ_04212 (Uncharacterized); OGCDPPDJ_04231 (Uncharacterized); OGCDPPDJ_04409 (Uncharacterized); OGCDPPDJ_04416 (Uncharacterized)
GO,response to antibiotic (GO:0046677),Stress response,17,OGCDPPDJ_00134 (Uncharacterized); OGCDPPDJ_00744 (Uncharacterized); OGCDPPDJ_01199 (Uncharacterized); OGCDPPDJ_01387 (Uncharacterized); OGCDPPDJ_01446 (Uncharacterized); OGCDPPDJ_01915 (Uncharacterized); OGCDPPDJ_02117 (Uncharacterized); OGCDPPDJ_02271 (Uncharacterized); OGCDPPDJ_02311 (Uncharacterized); OGCDPPDJ_02483 (Uncharacterized); OGCDPPDJ_03207 (Uncharacterized); OGCDPPDJ_03372 (Uncharacterized); OGCDPPDJ_03389 (Uncharacterized); OGCDPPDJ_03537 (Uncharacterized); OGCDPPDJ_03582 (Uncharacterized); OGCDPPDJ_03705 (Uncharacterized); OGCDPPDJ_04183 (Uncharacterized)
GO,tetrapyrrole metabolic process (GO:0033013),Stress response,14,OGCDPPDJ_00290 (Uncharacterized); OGCDPPDJ_00292 (Uncharacterized); OGCDPPDJ_00293 (Uncharacterized); OGCDPPDJ_00294 (Uncharacterized); OGCDPPDJ_00295 (Uncharacterized); OGCDPPDJ_00572 (Uncharacterized); OGCDPPDJ_02226 (Uncharacterized); OGCDPPDJ_02515 (Uncharacterized); OGCDPPDJ_02776 (Uncharacterized); OGCDPPDJ_02851 (Uncharacterized); OGCDPPDJ_03148 (Uncharacterized); OGCDPPDJ_03455 (Uncharacterized); OGCDPPDJ_03456 (Uncharacterized); OGCDPPDJ_03859 (Uncharacterized)
GO,cellular response to starvation (GO:0009267),Stress response,11,OGCDPPDJ_00036 (Uncharacterized); OGCDPPDJ_00134 (Uncharacterized); OGCDPPDJ_00432 (Uncharacterized); OGCDPPDJ_00574 (Uncharacterized); OGCDPPDJ_00912 (Uncharacterized); OGCDPPDJ_01374 (Uncharacterized); OGCDPPDJ_02429 (Uncharacterized); OGCDPPDJ_03565 (Uncharacterized); OGCDPPDJ_03685 (Uncharacterized); OGCDPPDJ_03705 (Uncharacterized); OGCDPPDJ_04379 (Uncharacterized)
GO,protein folding (GO:0006457),Stress response,7,OGCDPPDJ_00912 (Uncharacterized); OGCDPPDJ_01374 (Uncharacterized); OGCDPPDJ_02401 (Uncharacterized); OGCDPPDJ_03472 (Uncharacterized); OGCDPPDJ_04050 (Uncharacterized); OGCDPPDJ_04051 (Uncharacterized); OGCDPPDJ_04409 (Uncharacterized)
GO,response to osmotic stress (GO:0006970),Stress response,4,OGCDPPDJ_00098 (Uncharacterized); OGCDPPDJ_02921 (Uncharacterized); OGCDPPDJ_03207 (Uncharacterized); OGCDPPDJ_04241 (Uncharacterized)
GO,regulation of fatty acid metabolic process (GO:0019217),Stress response,2,OGCDPPDJ_00603 (Uncharacterized); OGCDPPDJ_02853 (Uncharacterized)
GO,xenobiotic transmembrane transport (GO:0006855),Environmental adaptation,13,OGCDPPDJ_00144 (Uncharacterized); OGCDPPDJ_00392 (Uncharacterized); OGCDPPDJ_00404 (Uncharacterized); OGCDPPDJ_00447 (Uncharacterized); OGCDPPDJ_00829 (Uncharacterized); OGCDPPDJ_01199 (Uncharacterized); OGCDPPDJ_01856 (Uncharacterized); OGCDPPDJ_02210 (Uncharacterized); OGCDPPDJ_03389 (Uncharacterized); OGCDPPDJ_03625 (Uncharacterized); OGCDPPDJ_04097 (Uncharacterized); OGCDPPDJ_04335 (Uncharacterized); OGCDPPDJ_04336 (Uncharacterized)
GO,chemotaxis (GO:0006935),Environmental adaptation,11,OGCDPPDJ_01996 (Uncharacterized); OGCDPPDJ_02693 (Uncharacterized); OGCDPPDJ_02694 (Uncharacterized); OGCDPPDJ_02703 (Uncharacterized); OGCDPPDJ_02706 (Uncharacterized); OGCDPPDJ_02707 (Uncharacterized); OGCDPPDJ_02716 (Uncharacterized); OGCDPPDJ_02939 (Uncharacterized); OGCDPPDJ_02946 (Uncharacterized); OGCDPPDJ_03432 (Uncharacterized); OGCDPPDJ_04187 (Uncharacterized)
GO,phosphorelay signal transduction system (GO:0000160),Environmental adaptation,5,OGCDPPDJ_00215 (Uncharacterized); OGCDPPDJ_00316 (Uncharacterized); OGCDPPDJ_00703 (Uncharacterized); OGCDPPDJ_01487 (Uncharacterized); OGCDPPDJ_01488 (Uncharacterized)
GO,response to copper ion (GO:0046688),Environmental adaptation,4,OGCDPPDJ_04394 (Uncharacterized); OGCDPPDJ_04395 (Uncharacterized); OGCDPPDJ_04396 (Uncharacterized); OGCDPPDJ_04397 (Uncharacterized)
GO,cellular response to oxygen levels (GO:0071453),Environmental adaptation,2,OGCDPPDJ_00912 (Uncharacterized); OGCDPPDJ_01374 (Uncharacterized)
GO,biofilm formation (GO:0042710),Environmental adaptation,1,OGCDPPDJ_00703 (Uncharacterized)
